text_full,labels
"Какие основания для получения? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Какие условия являются обязательными для получения? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Как оформлять услугу при рождении (усыновлении) нескольких детей? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Какая сумма выплат? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Кому не положено? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Какие документы удостоверяют личность? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Какие документы предоставить при обращении представителя? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Какие заявления брать у заявителя? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Какие дополнительно документы должен предоставить заявитель? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Какие основания для отказа в приеме документов? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Какие основания для отказа в предоставлении услуги? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Срок предоставления услуги? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"В каком случае учитываются в составе семьи пасынки и падчерицы? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль»)? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) администрация какого района принимает решение?
б) сроки назначения? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
"При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей? Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп","Родитель с инвалидностью, ребенок-инвалид"
Какие условия являются обязательными для получения? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Как оформлять услугу при рождении (усыновлении) нескольких детей? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Какая сумма выплат? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Кому не положено? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Какие документы удостоверяют личность? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Какие документы предоставить при обращении представителя? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Какие заявления брать у заявителя? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Какие дополнительно документы должен предоставить заявитель? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Какие основания для отказа в приеме документов? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Какие основания для отказа в предоставлении услуги? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Срок предоставления услуги? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
В каком случае учитываются в составе семьи пасынки и падчерицы? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
"Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль»)? Ежемесячное пособие на ВИЧ-инфицированного ребенка",ВИЧ-инфицированный
"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) администрация какого района принимает решение?
б) сроки назначения? Ежемесячное пособие на ВИЧ-инфицированного ребенка",ВИЧ-инфицированный
При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей? Ежемесячное пособие на ВИЧ-инфицированного ребенка,ВИЧ-инфицированный
Какие основания для получения? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Какие условия являются обязательными для получения? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Как оформлять услугу при рождении (усыновлении) нескольких детей? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Какая сумма выплат? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Кому не положено? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Какие документы удостоверяют личность? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Какие документы предоставить при обращении представителя? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Какие заявления брать у заявителя? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Какие дополнительно документы должен предоставить заявитель? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Какие основания для отказа в приеме документов? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Какие основания для отказа в предоставлении услуги? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
Срок предоставления услуги? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
В каком случае учитываются в составе семьи пасынки и падчерицы? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
"Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль»)? Ежемесячное пособие на ребенка-инвалида с особыми потребностями",Ребенок-инвалид
"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) администрация какого района принимает решение?
б) сроки назначения? Ежемесячное пособие на ребенка-инвалида с особыми потребностями",Ребенок-инвалид
При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей? Ежемесячное пособие на ребенка-инвалида с особыми потребностями,Ребенок-инвалид
"Какие основания для получения? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Какие условия являются обязательными для получения? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Как оформлять услугу при рождении (усыновлении) нескольких детей? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Какая сумма выплат? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Кому не положено? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Какие документы удостоверяют личность? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Какие документы предоставить при обращении представителя? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Какие заявления брать у заявителя? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Какие дополнительно документы должен предоставить заявитель? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Какие основания для отказа в приеме документов? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Какие основания для отказа в предоставлении услуги? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Срок предоставления услуги? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"В каком случае учитываются в составе семьи пасынки и падчерицы? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль»)? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) администрация какого района принимает решение?
б) сроки назначения? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей? Ежегодная компенсационная выплата на ребенка в возрасте до 18 лет, страдающего заболеванием целиакия, не являющегося инвалидом",Ребенок с целиакия
"Какие основания для получения? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Какие условия являются обязательными для получения? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Как оформлять услугу при рождении (усыновлении) нескольких детей? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Какая сумма выплат? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Сколько раз можно получить? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Как определяется размер выплат? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Какие документы удостоверяют личность? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Какие документы предоставить при обращении представителя? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Какие заявления брать у заявителя? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Какие дополнительно документы должен предоставить заявитель? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Какие основания для отказа в приеме документов? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Какие основания для отказа в предоставлении услуги? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
"Срок предоставления услуги? Направление средств земельного капитала в Санкт-Петербурге
Направление средств земельного капитала в Санкт-Петербурге на приобретение земельного участка для дачного строительства на территории Российской Федерации",Земельный капитал
Какие основания для получения? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Размер части взноса? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Когда начинает предоставляться выплата Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Кем явяется заявитель? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Количество помещений на которое можно оформить Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Кому не предоставляется? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Какие документы удостоверяют личность? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Какие документы предоставить при обращении представителя? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Какие заявления брать у заявителя? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Какие дополнительно документы должен предоставить заявитель? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Основания для отказа в приёме документов Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Какие основания для отказа в предоставлении услуги? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Результат предоставления услуги? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
Срок предоставления услуги? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная"
"Обстоятельства, влекущие изменение размера денежной выплаты Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье","Капитальный ремонт, многодетная"
"Обстоятельства, влекущие утрату права на предоставление денежной выплаты (прекращение денежной выплаты) Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье","Капитальный ремонт, многодетная, изменение размера"
Какие дополнительно документы должен предоставить заявитель? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная, изменение размера"
Основания для отказа в приеме документов Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная, изменение размера"
Основания для отказа в предоставлении услуги Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная, изменение размера"
Срок предоставления услуги? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная, изменение размера"
Срок предоставления услуги? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная, изменение реквизитов"
Результат предоставления услуги? Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная, изменение реквизитов"
Основания для отказа в приеме документов Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная, изменение реквизитов"
Основания для отказа в предоставлении государственной услуги Предоставление денежной выплаты на уплату взноса на капитальный ремонт многодетной семье,"Капитальный ремонт, многодетная, изменение реквизитов"
Кто является заявителем? Зачисление в детский сад,"Сад, дет.сад"
Возраст дающий право на посещение Зачисление в детский сад,"Сад, дет.сад"
Что нужно сделать перед подачей Зачисление в детский сад,"Сад, дет.сад"
Колличество заявлений которые может подать заявитель Зачисление в детский сад,"Сад, дет.сад"
Последовательность распределения детей в рамках электронного списка Зачисление в детский сад,"Сад, дет.сад"
"Для получения напправления во внеочередном, первоочередном или в прядке приемущсетвенного права нужно Зачисление в детский сад","Сад, дет.сад"
Сколько детских садов можно выбрать? Зачисление в детский сад,"Сад, дет.сад"
Логопедическая помощь Зачисление в детский сад,"Сад, дет.сад"
"Документ, удостоверяющий личность заявителя Зачисление в детский сад","Сад, дет.сад"
Какие документы предоставить при обращении представителя? Зачисление в детский сад,"Сад, дет.сад"
Какие дополнительно документы должен предоставить заявитель? Зачисление в детский сад,"Сад, дет.сад"
Основания для отказа в приеме документов Зачисление в детский сад,"Сад, дет.сад"
Основания для приостановления предоставления государственной услуги: Зачисление в детский сад,"Сад, дет.сад"
Основания для отказа в предоставлении государственной услуги: Зачисление в детский сад,"Сад, дет.сад"
Результат предоставления государственной услуги Зачисление в детский сад,"Сад, дет.сад"
Срок предоставления государственной услуги Зачисление в детский сад,"Сад, дет.сад"
Какие изменения можно внести? Зачисление в детский сад,"Сад, дет.сад, изменение"
Какие изменения не вносятся? Зачисление в детский сад,"Сад, дет.сад, изменение"
Последовательность действий при обращении для внесении изменений Зачисление в детский сад,"Сад, дет.сад, изменение"
Какие статусы для внесения изменеий? Зачисление в детский сад,"Сад, дет.сад, изменение"
Обратить внимение Зачисление в детский сад,"Сад, дет.сад, изменение"
Срок рассмотрения заявления о внесении изменений: Зачисление в детский сад,"Сад, дет.сад, изменение"
Результат процедуры по внесению изменений в заявление: Зачисление в детский сад,"Сад, дет.сад, изменение"
Отклонение внесения изменений в заявление осуществляется в случаях Зачисление в детский сад,"Сад, дет.сад, изменение"
Кто является заявителем? Зачисление в образовательное учреждение,"Школа, первый класс"
Сроки подачи заявлений на зачисление в первые классы на 2023-2024 учебный год? Зачисление в образовательное учреждение,"Школа, первый класс"
Какой возраст для зачисления в школу? Зачисление в образовательное учреждение,"Школа, первый класс"
Если есть уже было подано заявление? Зачисление в образовательное учреждение,"Школа, первый класс"
Когда повторная подача заявления возможна? Зачисление в образовательное учреждение,"Школа, первый класс"
Какие документы удостоверяют личность? Зачисление в образовательное учреждение,"Школа, первый класс"
Какие документы предоставить при обращении представителя? Зачисление в образовательное учреждение,"Школа, первый класс"
Какие дополнительно документы должен предоставить заявитель? Зачисление в образовательное учреждение,"Школа, первый класс, перевод"
Основания для отказа в приеме заявления в МФЦ и образовательной организации Зачисление в образовательное учреждение,"Школа, первый класс"
Основания для отказа в приеме документов для зачисления в образовательные организации Зачисление в образовательное учреждение,"Школа, первый класс"
Основание для отказа в зачислении в образовательную организацию Зачисление в образовательное учреждение,"Школа, первый класс"
Срок предоставления услуги Зачисление в образовательное учреждение,"Школа, первый класс"
Результатом услуги Зачисление в образовательное учреждение,"Школа, первый класс"
Порядок выдачи уведомлений Зачисление в образовательное учреждение,"Школа, первый класс"
Сроки подачи? Зачисление в образовательное учреждение,"Школа, перевод"
Основания для отказа в приеме заявления в МФЦ и образовательной организации на предоставление услуги: Зачисление в образовательное учреждение,"Школа, перевод"
Основания для отказа в приеме документов для зачисления в образовательные организации: Зачисление в образовательное учреждение,"Школа, перевод"
Основание для отказа в предоставлении услуги: Зачисление в образовательное учреждение,"Школа, перевод"
Результатом предоставления услуги Зачисление в образовательное учреждение,"Школа, перевод"
Срок предоставления услуги Зачисление в образовательное учреждение,"Школа, перевод"
Кто является заявиелем? Возмещение расходов на обучение детей-сирот на курсах по подготовке к поступлению в гос. ОУ Возмещение расходов на обучение детей-сирот на курсах,"Сироты, расходы сиротам"
Какое должно быть место жительства Возмещение расходов на обучение детей-сирот на курсах по подготовке к поступлению в гос. ОУ Возмещение расходов на обучение детей-сирот на курсах,"Сироты, расходы сиротам"
Какая сумма выплат? Возмещение расходов на обучение детей-сирот на курсах по подготовке к поступлению в гос. ОУ Возмещение расходов на обучение детей-сирот на курсах,"Сироты, расходы сиротам"
В каком случае назначается денежная компесация? Возмещение расходов на обучение детей-сирот на курсах по подготовке к поступлению в гос. ОУ Возмещение расходов на обучение детей-сирот на курсах,"Сироты, расходы сиротам"
Какие документы удостоверяют личность? Возмещение расходов на обучение детей-сирот на курсах по подготовке к поступлению в гос. ОУ Возмещение расходов на обучение детей-сирот на курсах,"Сироты, расходы сиротам"
Какие дополнительно документы должен предоставить заявитель? Возмещение расходов на обучение детей-сирот на курсах по подготовке к поступлению в гос. ОУ Возмещение расходов на обучение детей-сирот на курсах,"Сироты, расходы сиротам"
Какие дополнительно документы должен предоставить заявитель? Возмещение расходов на обучение детей-сирот на курсах по подготовке к поступлению в гос. ОУ Возмещение расходов на обучение детей-сирот на курсах name,"Сироты, расходы сиротам"
